t,q1,q2,q3,q4,q5,q6
0.000000,-166.153846,36.363636,38.461538,0.000000,0.000000,0.000000
0.002839,-165.897220,35.795818,38.120268,0.000000,0.000000,0.000000
0.005678,-165.645527,35.246714,37.765180,0.000000,0.000000,0.000000
0.008517,-165.398637,34.716311,37.396453,0.000000,0.000000,0.000000
0.011356,-165.156422,34.204574,37.014267,0.000000,0.000000,0.000000
0.014195,-164.918760,33.711444,36.618800,0.000000,0.000000,0.000000
0.017035,-164.685530,33.236845,36.210231,0.000000,0.000000,0.000000
0.019874,-164.456619,32.780680,35.788740,0.000000,0.000000,0.000000
0.022713,-164.231913,32.342837,35.354503,0.000000,0.000000,0.000000
0.025552,-164.011305,31.923188,34.907695,0.000000,0.000000,0.000000
0.028391,-163.794690,31.521590,34.448489,0.000000,0.000000,0.000000
0.031230,-163.581967,31.137889,33.977056,0.000000,0.000000,0.000000
0.034069,-163.373037,30.771917,33.493562,0.000000,0.000000,0.000000
0.036908,-163.167806,30.423500,32.998170,0.000000,0.000000,0.000000
0.039747,-162.966181,30.092450,32.491040,0.000000,0.000000,0.000000
0.042586,-162.768073,29.778575,31.972327,0.000000,0.000000,0.000000
0.045426,-162.573394,29.481676,31.442181,0.000000,0.000000,0.000000
0.048265,-162.382062,29.201546,30.900746,0.000000,0.000000,0.000000
0.051104,-162.193995,28.937976,30.348164,0.000000,0.000000,0.000000
0.053943,-162.009114,28.690754,29.784569,0.000000,0.000000,0.000000
0.056782,-161.827342,28.459663,29.210089,0.000000,0.000000,0.000000
0.059621,-161.648605,28.244486,28.624848,0.000000,0.000000,0.000000
0.062460,-161.472832,28.045005,28.028962,0.000000,0.000000,0.000000
0.065299,-161.299951,27.861002,27.422541,0.000000,0.000000,0.000000
0.068138,-161.129897,27.692259,26.805690,0.000000,0.000000,0.000000
0.070977,-160.962602,27.538559,26.178506,0.000000,0.000000,0.000000
0.073816,-160.798003,27.399688,25.541078,0.000000,0.000000,0.000000
0.076656,-160.636038,27.275434,24.893491,0.000000,0.000000,0.000000
0.079495,-160.476646,27.165589,24.235820,0.000000,0.000000,0.000000
0.082334,-160.319770,27.069946,23.568134,0.000000,0.000000,0.000000
0.085173,-160.165353,26.988304,22.890495,0.000000,0.000000,0.000000
0.088012,-160.013338,26.920467,22.202956,0.000000,0.000000,0.000000
0.090851,-159.863674,26.866240,21.505564,0.000000,0.000000,0.000000
0.093690,-159.716307,26.825439,20.798358,0.000000,0.000000,0.000000
0.096529,-159.571187,26.797880,20.081367,0.000000,0.000000,0.000000
